,rod,vyskyt_doba,vyskyt_misto,jedla,tren_tvar,tren_konzistence,tren_povrch,tren_barva,hymenofor,klobouk_barva,klobouk_tvar,klobouk_povrch,prsten,pochva
Pavučinec červenošupinný (Cortinarius bolaris),Cortinarius,"srpen, září, říjen",listnatý les,nejedlá,válcovitý,tvrdá,vláknitý,bílá,lupeny,"žlutá, červená","plochý, klenutý",šupinkatý,nemá,nemá
Pavučinec náramkovitý (Cortinarius armillatus),Cortinarius,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,"válcovitý, kyjovitý, hlízovitý",tvrdá,vláknitý,hnědá,lupeny,červená,"s hrbolkem, zvoncovitý, klenutý",vláknitý,nemá,nemá
Pečárka (žampión) císařská (Agaricus augustus),Agaricus,"srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,"válcovitý, kyjovitý",tvrdá,hladký,bílá,lupeny,žlutá,"polokulovitý, kulovitý, plochý, klenutý",šupinkatý,má,nemá
Pečárka (žampión) dvouvýtrusá (Agaricus bisporus),Agaricus,"květen, červen, červenec, srpen, září, říjen","pole, pastviny, zahrady, paseky",jedlá,válcovitý,tvrdá,vláknitý,"hnědá, bílá, šedá",lupeny,"hnědá, bílá","polokulovitý, plochý","hladký, šupinkatý",má,nemá
Pečárka (žampión) lesní (Agaricus silvaticus),Agaricus,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,válcovitý,tvrdá,hladký,"bílá, šedá",lupeny,"hnědá, okrová","polokulovitý, plochý, klenutý",šupinkatý,má,nemá
Penízovka dubová (Gymnopus dryophilus),Gymnopus,"květen, červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, parky",jedlá,válcovitý,dutá,hladký,okrová,lupeny,"žlutá, okrová","vmáčklý, zvoncovitý",hladký,nemá,nemá
Penízovka kuželovitá (Collybia asema),Collybia,"září, říjen, listopad","jehličnatý les, listnatý les, smíšený les",jedlá,kyjovitý,pružná,hladký,šedá,lupeny,šedá,"polokulovitý, plochý, s hrbolkem, klenutý",hladký,nemá,nemá
Penízovka máslová (Rhodocollybia butyracea),Rhodocollybia,"září, říjen, listopad","jehličnatý les, smíšený les",jedlá,kyjovitý,dutá,-,bílá,lupeny,hnědá,"polokulovitý, plochý, s hrbolkem, klenutý",hladký,nemá,nemá
Penízovka sametonohá (Flammulina velutipes),Flammulina,"leden, únor, březen, duben, říjen, listopad, prosinec","listnatý les, smíšený les, parky, sady, zahrady, mýtiny",jedlá,válcovitý,tvrdá,plstnatý,"hnědá, žlutá",lupeny,"hnědá, žlutá, oranžová","polokulovitý, plochý, klenutý","hladký, slizký, lysý",nemá,nemá
Prášivka černající (Bovista nigrescens),Bovista,"červen, červenec, srpen, září, říjen","louky, pole, pastviny, parky, zahrady, stráně, paseky",jedlá,-,měkká,-,-,jiné,bílá,kulovitý,hladký,nemá,nemá
Pýchavka dlabaná (Lycoperdon utriforme),Lycoperdon,"květen, červen, červenec, srpen, září, říjen","louky, pastviny, parky, stráně, paseky",jedlá,-,křehká,-,-,-,bílá,kulovitý,hladký,nemá,nemá
Pýchavka hruškovitá (Lycoperdon pyriforme),Lycoperdon,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, parky, mýtiny",jedlá,"dolů ztenčující, kyjovitý",měkká,-,-,jiné,bílá,-,-,nemá,nemá
Pýchavka obecná (Lycoperdon perlatum),Lycoperdon,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les, louky, pole, pastviny, parky, zahrady, křoviny, mýtiny, paseky, jiné",jedlá,kyjovitý,měkká,bradavčitý,-,jiné,bílá,kulovitý,-,nemá,nemá
Pýchavka obrovská (Langermannia gigante),Langermannia,"červen, červenec, srpen, září, říjen","louky, pastviny, parky, zahrady",jedlá,-,měkká,-,-,jiné,bílá,kulovitý,hladký,nemá,nemá
Ryzec kravský (Lactarius torminosus),Lactarius,"červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, parky, jiné",nejedlá,válcovitý,křehká,hladký,růžová,lupeny,"hnědá, červená","plochý, nálevkovitý, vmáčklý, klenutý",plstnatý,nemá,nemá
Ryzec peprný (Lactarius piperatus),Lactarius,"červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",nejedlá,"válcovitý, dolů ztenčující",tvrdá,"hladký, lysý",bílá,lupeny,bílá,"nálevkovitý, vmáčklý, klenutý",hladký,nemá,nemá
Ryzec pravý (Lactarius deliciosus),Lactarius,"srpen, září, říjen, listopad","jehličnatý les, smíšený les, louky, paseky",jedlá,válcovitý,křehká,hladký,"zelená, červená, oranžová",lupeny,"zelená, červená, oranžová","plochý, nálevkovitý, vmáčklý, klenutý",hladký,nemá,nemá
Ryzec smrkový (Lactarius deterrimus),Lactarius,"srpen, září, říjen, listopad","jehličnatý les, louky, pastviny",jedlá,válcovitý,křehká,hladký,"žlutá, červená, oranžová",lupeny,"zelená, červená, oranžová","plochý, vmáčklý, klenutý",hladký,nemá,nemá
Ryzec syrovinka (Lactarius volemus),Lactarius,"červen, červenec, srpen, září, říjen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,tvrdá,hladký,"hnědá, červená, oranžová",lupeny,"hnědá, červená, oranžová","plochý, nálevkovitý, vmáčklý",hladký,nemá,nemá
Ryzec šeredný (Lactarius turpis),Lactarius,"červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les",jedovatá,válcovitý,tvrdá,hladký,"zelená, olivová",lupeny,"hnědá, zelená, olivová","plochý, vmáčklý, klenutý","plstnatý, lysý",nemá,nemá
Sírovec žlutooranžový (Laetiporus sulphureus),Laetiporus,"duben, květen, červen, červenec, srpen, září","listnatý les, smíšený les, parky, sady, zahrady",jedlá,-,-,-,-,rourky,"žlutá, oranžová",-,hladký,nemá,nemá
Slizák lepkavý (Chroogomphus rutilus),Chroogomphus,"červenec, srpen, září, říjen",jehličnatý les,jedlá,"válcovitý, dolů ztenčující",tvrdá,vláknitý,"hnědá, žlutá",lupeny,"hnědá, žlutá, oranžová","plochý, kuželovitý, vmáčklý, s hrbolkem","hladký, slizký, lysý",má,nemá
Slizák mazlavý (Gomphidius glutinosus),Gomphidius,"červenec, srpen, září, říjen",jehličnatý les,jedlá,válcovitý,měkká,hladký,bílá,lupeny,"hnědá, šedá","plochý, nálevkovitý, klenutý","hladký, slizký",má,nemá
Sluka svraskalá (Rozites caperata),Rozites,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,válcovitý,křehká,vláknitý,bílá,lupeny,"bílá, šedá, fialová","plochý, vejčitý","lysý, se zbytky plachetky (vločkatý)",má,nemá
Smrž kuželovitý (Morchella conica),Morchella,"březen, duben, květen","jehličnatý les, listnatý les, smíšený les, louky, pastviny, parky, sady, zahrady, křoviny, stráně, mýtiny, paseky, jiné",jedlá,válcovitý,křehká,hladký,"bílá, okrová",jiné,hnědá,"vejčitý, kuželovitý",jamkatý,nemá,nemá
Smrž obecný (Morchella esculentaa),Morchella,"březen, duben, květen","listnatý les, louky, pastviny, parky, sady, zahrady, stráně, mýtiny, paseky, jiné",jedlá,nahoru ztenčující,křehká,hladký,bílá,jiné,"hnědá, žlutá, okrová",vejčitý,"hrbolkatý, jamkatý",nemá,nemá
Strmělka anýzka (Clitocybe odora),Clitocybe,"červen, červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,pružná,vláknitý,"zelená, bílá",lupeny,"zelená, šedá","plochý, nálevkovitý, klenutý",lysý,nemá,nemá
Strmělka mlženka (Clitocybe nebularis),Clitocybe,"srpen, září, říjen, listopad, prosinec","jehličnatý les, listnatý les, smíšený les, louky, parky, mýtiny",jedlá,"válcovitý, nahoru ztenčující",pružná,vláknitý,"bílá, šedá",lupeny,"bílá, šedá","plochý, klenutý",hladký,nemá,nemá
Strmělka nálevkovitá (Clitocybe gibba),Clitocybe,"květen, červen, červenec, srpen, září, říjen, listopad, prosinec","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,pružná,hladký,"hnědá, okrová",lupeny,"hnědá, okrová","vmáčklý, s hrbolkem","plstnatý, lysý",nemá,nemá
Stroček trubkovitý (Craterellus Cornucopioides),Craterellus,"srpen, září, říjen, listopad","listnatý les, smíšený les",jedlá,dolů ztenčující,dutá,hladký,šedá,-,šedá,nálevkovitý,šupinkatý,nemá,nemá
Šafránka červenožlutá (Tricholomopsis rutilans),Tricholomopsis,"červenec, srpen, září, říjen","jehličnatý les, smíšený les",jedlá,válcovitý,tvrdá,zrnitý,žlutá,lupeny,žlutá,"polokulovitý, plochý, kuželovitý",šupinkatý,nemá,nemá
Šťavnatka březnovka (Hygrophorus marzuolus),Hygrophorus,"březen, duben, květen","jehličnatý les, listnatý les, smíšený les",jedlá,válcovitý,křehká,vláknitý,bílá,lupeny,"bílá, šedá","polokulovitý, plochý, vmáčklý, klenutý",hladký,nemá,nemá
Šťavnatka modřínová (Hygrophorus lucorum),Hygrophorus,"září, říjen, listopad, prosinec","jehličnatý les, smíšený les",jedlá,válcovitý,křehká,-,žlutá,lupeny,žlutá,"plochý, vmáčklý, klenutý",slizký,má,nemá
Šťavnatka pomrazka (Hygrophorus hypothejus),Hygrophorus,"září, říjen, listopad, prosinec","jehličnatý les, smíšený les, kosodřevina",jedlá,válcovitý,křehká,hladký,žlutá,lupeny,"hnědá, olivová","plochý, vmáčklý, klenutý","slizký, vláknitý",má,nemá
Šupinovka kostrbatá (Pholiota squarrosa),Pholiota,"srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, mýtiny",jedlá,válcovitý,tvrdá,-,žlutá,lupeny,"žlutá, oranžová","polokulovitý, plochý, kuželovitý",šupinkatý,má,nemá
Šupinovka zhoubná (Pholiota populnea),Pholiota,"září, říjen, listopad","listnatý les, smíšený les, parky, jiné",nejedlá,"kyjovitý, hlízovitý",tvrdá,plstnatý,"bílá, okrová",lupeny,"bílá, okrová","polokulovitý, klenutý","šupinkatý, plstnatý, se zbytky plachetky (vločkatý)",má,nemá
Třepenitka  maková (Hypholoma capnoides),Hypholoma,"březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec","jehličnatý les, smíšený les, mýtiny, kosodřevina",jedlá,válcovitý,pružná,"hladký, lysý",bílá,lupeny,"žlutá, oranžová, okrová","polokulovitý, plochý, vypouklý","hladký, lysý",má,nemá
Třepenitka cihlová (Hypholoma sublateritium),Hypholoma,"červenec, srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, parky, sady, zahrady, mýtiny",nejedlá,válcovitý,pružná,"hladký, lysý",bílá,lupeny,"červená, okrová","polokulovitý, plochý, vypouklý","hladký, lysý",má,nemá
Třepenitka svazčitá (Hypholoma fasciculare),Hypholoma,"březen, duben, květen, červen, červenec, srpen, září, říjen, listopad, prosinec","jehličnatý les, listnatý les, smíšený les, parky, sady, zahrady, křoviny, mýtiny, jiné",jedovatá,válcovitý,pružná,vláknitý,žlutá,lupeny,žlutá,"plochý, zvoncovitý, klenutý","hladký, lysý",má,nemá
Ucháč obecný (Gyromitra esculenta),Gyromitra,"březen, duben, květen","jehličnatý les, mýtiny",smrtelně jedovatá,-,dutá,"hladký, hrbolkatý",bílá,jiné,"hnědá, červená",kulovitý,"hladký, jamkatý",nemá,nemá
Ucháč obrovský (Gyromitra gigas),Gyromitra,"březen, duben, květen","jehličnatý les, mýtiny",jedlá,-,dutá,hladký,bílá,jiné,"hnědá, okrová",kulovitý,hladký,nemá,nemá
Václavka obecná (Armillaria mellea),Armillaria,"srpen, září, říjen, listopad","jehličnatý les, listnatý les, smíšený les, parky, mýtiny",jedlá,válcovitý,tvrdá,"hladký, vláknitý","hnědá, žlutá, okrová",lupeny,"hnědá, žlutá, okrová","polokulovitý, plochý, s hrbolkem, klenutý",šupinkatý,má,nemá
Závojenka jarní (Entoloma vernum),Entoloma,"březen, duben, květen","jehličnatý les, smíšený les, parky, zahrady, mýtiny",jedovatá,válcovitý,křehká,vláknitý,"hnědá, okrová",lupeny,hnědá,"kuželovitý, s hrbolkem, zvoncovitý",hladký,nemá,nemá
Závojenka olovová (Entoloma eulividum),Entoloma,"květen, červen, červenec, srpen, září, říjen","listnatý les, smíšený les, parky",smrtelně jedovatá,válcovitý,pružná,"lesklý, vláknitý","bílá, šedá",lupeny,"bílá, okrová","plochý, s hrbolkem, klenutý",hladký,nemá,nemá
Závojenka podtrnka (Entoloma clypeatum),Entoloma,"duben, květen, červen","sady, zahrady, křoviny",jedlá,válcovitý,měkká,vláknitý,bílá,lupeny,"bílá, šedá","plochý, s hrbolkem, zvoncovitý, klenutý",vláknitý,nemá,nemá
